ID,dipole(Debye),gfn2_dipole(Debye),polar(A^3),gfn2_polar(A^3)
114_674_000100,11.44368,10.849,,
46-47_AB3,7.58212,3.753,,
1-44_AB3,9.095260000000001,8.568999999999999,,
377_114_011101,35.12785,31.541,,
618_388_010001,41.95477,43.653,,
114_344_000100,10.55193,12.296,,
379_282_000100,8.617,8.869,,
410_525_011101,43.022890000000004,45.528999999999996,,
559_837_000100,5.40369,6.085,,
50-63_ABAB,7.13028,7.542000000000001,,
4-sp47,0.00472,0.004,,
411_525_000000,7.391360000000001,7.1739999999999995,,
410_658_001000,10.80691,14.35,,
5-sp78,0.024319999999999998,0.22399999999999998,,
47-50_AB3,5.22555,5.959,,
3-24,1.17139,1.65,,
1075_462_001000,3.8462199999999998,3.238,,
63-96,4.34684,5.474,,
1175_67_010101,10.02014,21.416999999999998,,
930_485_000100,17.799979999999998,15.927,,
618_1178_011101,25.22334,26.951,,
867_397_111011,9.462110000000001,12.307,,
5-sp63,1.00462,1.181,,
12-52_ABAB,7.449839999999999,6.832000000000001,,
222_364_001000,7.53492,16.198,,
618_1167_111111,7.89571,39.367,,
379_525_001000,5.44188,6.806,,
1-sp01,2.9999999999999997e-05,0.0,,
713_618_010001,15.969610000000001,17.022000000000002,,
5-sp80,12.33185,6.655,,
284_879_000111,42.00448,10.035,,
582_63_100011,17.93121,21.383000000000003,,
520_670_101100,23.059160000000002,37.388000000000005,,
520_515_111111,35.49556,18.213,,
646_877_110000,9.64945,10.215,,
407_190_100100,8.80847,11.847000000000001,,
222_515_111100,12.75115,29.0,,
562_1145_011110,18.83013,22.514,,
720_785_100011,14.49365,19.86,,
373_998_011000,7.394710000000001,7.443,,
525_1167_001111,31.20914,15.120999999999999,,
257_977_100101,7.91419,12.485999999999999,,
119_748_111001,46.11352,46.555,,
822_132_101101,2.2231799999999997,4.171,,
480_666_011111,3.40818,4.4719999999999995,,
337_515_101010,6.75362,7.5329999999999995,,
289_21_110111,11.472539999999999,12.645999999999999,,
944_115_101010,11.84966,20.023,,
804_1084_000000,12.3024,13.636,,
669_1018_110111,6.02718,6.232,,
166_554_010111,5.60901,13.207,,
1056_434_101010,12.45978,12.849,,
496_979_000011,11.01102,7.849,,
1130_1192_010111,9.49237,17.839000000000002,,
464_984_000101,6.794,10.229,,
43_276_101010,9.47654,11.702,,
1073_1156_000011,82.70053,79.283,,
791_558_000101,11.02716,10.932,,
399_1134_101011,15.601429999999999,12.013,,
71_515_101010,14.20207,25.585,,
154_515_001100,13.66806,31.000999999999998,,
1107_198_010111,7.58357,9.596,,
1081_100_001010,6.98884,10.782,,
104_680_100010,11.81184,17.809,,
617_801_011011,5.229019999999999,5.207000000000001,,
590_631_011011,13.9538,18.788,,
benzo-a-anthracene,0.03675,0.011000000000000001,,
benzo-e-pyrene,0.05936,0.03,,
pyrene,0.0,0.0,,
dibenzo-bi-phenazine,0.0,0.0,,
3E5E-octa-1357-tetraene,2e-05,0.0,,
benzo-a-pyrene,0.01627,0.028999999999999998,,
dibenzo-ai-phenazine,0.60834,0.58,,
364_1073_110000,206.68976999999998,142.597,520.698,152.236
1073_690_001111,182.84001,142.453,743.582,170.53400000000002
